Event	ID	Name			Wwise Object Path	Notes
	3864305416	play_pared			\Default Work Unit\play_pared	
	4031831520	Play_pasos			\Default Work Unit\Play_pasos	

Switch Group	ID	Name			Wwise Object Path	Notes
	3026462669	Pasos			\Default Work Unit\Pasos	

Switch	ID	Name	Switch Group			Notes
	556669445	Laberinto	Pasos			
	1641284458	Bosque	Pasos			
	1736299401	Placas	Pasos			
	2274601469	Cueva	Pasos			
	3219867671	Agua	Pasos			

State Group	ID	Name			Wwise Object Path	Notes
	2136634857	Escenas			\Default Work Unit\Escenas	

State	ID	Name	State Group			Notes
	290285391	lobby	Escenas			
	748895195	None	Escenas			
	2607556080	menu	Escenas			
	2823359158	library	Escenas			
	2943799864	maze	Escenas			

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	1730564739	MUSICA			\Default Work Unit\Master Audio Bus\MUSICA	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	253479508	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\all\Ambientes\amb\cueva\gotas\New Sound SFX_01\Wwise Silence	
	742041600	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\all\Ambientes\amb\cueva\piedritas\New Sound SFX\Wwise Silence	
	779905026	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\all\Ambientes\amb\placas\placas\New Sound SFX\Wwise Silence	
	879586172	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\all\Ambientes\amb\cueva\gotas\New Sound SFX\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3655766	pasos cueva-006	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos cueva-006_CA9EB0BD.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\cueva\pasos cueva-006		47292
	26415201	pasos cueva-005	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos cueva-005_06ADADE5.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\cueva\pasos cueva-005		41890
	42833401	pasos laberinto-003	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos laberinto-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\laberinto\pasos laberinto-003		34850
	58025510	pasos agua-003	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos agua-003_56D36225.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\agua\pasos agua-003		67988
	92805301	pasos laberinto-005	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos laberinto-005_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\laberinto\pasos laberinto-005		40932
	101700251	pasos placas-004	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos placas-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\placas\pasos placas-004		58526
	103322527	pasos cueva-001	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pasos cueva-001_A5F4C872.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\pasos\pasos\cueva\pasos cueva-001		36442
	123349736	pared-001	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\pared-001_93E6C1B3.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\puertas\pared\pared-001		166968
	134847893	para_placa-002	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\para_placa-002_93027F76.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\Ambientes\amb\placas\placas\para_placa-002		519024
	147934335	wooshes-007	D:\Proyectos\Spark-in-the-Dark-Wwise\Spark-in-the-Dark\.cache\Mac\SFX\wooshes-007_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\all\wooshes\wooshes-007		188612
